M1:gds (L=1.00e-07) X,M1:gds (L=1.00e-07) Y,M1:gds (L=2.00e-07) X,M1:gds (L=2.00e-07) Y,M1:gds (L=3.00e-07) X,M1:gds (L=3.00e-07) Y,M1:gds (L=4.00e-07) X,M1:gds (L=4.00e-07) Y,M1:gds (L=5.00e-07) X,M1:gds (L=5.00e-07) Y,M1:gds (L=6.00e-07) X,M1:gds (L=6.00e-07) Y,M1:gds (L=7.00e-07) X,M1:gds (L=7.00e-07) Y,M1:gds (L=8.00e-07) X,M1:gds (L=8.00e-07) Y,M1:gds (L=9.00e-07) X,M1:gds (L=9.00e-07) Y,M1:gds (L=1.00e-06) X,M1:gds (L=1.00e-06) Y
0.4,8.343809522544382e-07,0.4,3.155668372703517e-07,0.4,2.100650335477961e-07,0.4,1.652052181237433e-07,0.4,1.362628205785713e-07,0.4,1.158186007312473e-07,0.4,1.005247877977119e-07,0.4,8.861814122816028e-08,0.4,7.907262211561281e-08,0.4,7.124605142603069e-08
0.401,8.530705216393673e-07,0.401,3.221398374996579e-07,0.401,2.142568999071259e-07,0.401,1.68425470831219e-07,0.401,1.388648387525893e-07,0.401,1.17991261021242e-07,0.401,1.023816956266478e-07,0.401,9.02331873253066e-08,0.401,8.049667208577766e-08,0.401,7.251565791262828e-08
0.402,8.721116221061373e-07,0.402,3.288225220134461e-07,0.402,2.185141633086723e-07,0.402,1.716940612699321e-07,0.402,1.41504622186805e-07,0.402,1.201945501840979e-07,0.402,1.042641264960802e-07,0.402,9.186994445015174e-08,0.402,8.19394928974314e-08,0.402,7.380170845935178e-08
0.403,8.91508933123025e-07,0.403,3.356160608905091e-07,0.403,2.228374343983241e-07,0.403,1.750114010835925e-07,0.403,1.441824675425061e-07,0.403,1.224286923123574e-07,0.403,1.061722557166951e-07,0.403,9.35285535206013e-08,0.403,8.340120029821929e-08,0.403,7.510429983131797e-08
0.404,9.112671475564391e-07,0.404,3.425216243103847e-07,0.404,2.27227322890361e-07,0.404,1.783779006324694e-07,0.404,1.468986702008624e-07,0.404,1.246939103185928e-07,0.404,1.08106257538348e-07,0.404,9.520915450736316e-08,0.404,8.488190918976387e-08,0.404,7.642352803549076e-08
0.405,9.313909705781406e-07,0.405,3.495403824174608e-07,0.405,2.316844375298419e-07,0.405,1.817939689763892e-07,0.405,1.496535242574311e-07,0.405,1.269904259359956e-07,0.405,1.100663051537601e-07,0.405,9.691188643912173e-08,0.405,8.638173363349226e-08,0.405,7.775948832667242e-08
0.406,9.518851185616938e-07,0.406,3.566735051898858e-07,0.406,2.362093860581428e-07,0.406,1.852600138600293e-07,0.406,1.52447322518263e-07,0.406,1.293184597200173e-07,0.406,1.120525707029081e-07,0.406,9.86368874082047e-08,0.406,8.790078685675116e-08,0.406,7.911227521366403e-08
0.407,9.727543179694741e-07,0.407,3.639221623133185e-07,0.407,2.408027751815162e-07,0.407,1.887764417003802e-07,0.407,1.552803564974757e-07,0.407,1.31678231051037e-07,0.407,1.140652252780853e-07,0.407,1.003842945766491e-07,0.407,8.943918125917312e-08,0.407,8.048198246557182e-08
0.408,9.940033042311179e-07,0.408,3.712875230596466e-07,0.408,2.454652105426607e-07,0.408,1.923436575763087e-07,0.408,1.581529164162611e-07,0.408,1.340699581379373e-07,0.408,1.161044389295468e-07,0.408,1.021542441826264e-07,0.408,9.099702841924162e-08,0.408,8.186870311817479e-08
0.409,1.015636820614785e-06,0.409,3.787707561706909e-07,0.409,2.501972966951603e-07,0.409,1.959620652201183e-07,0.409,1.610652912031992e-07,0.409,1.364938580224974e-07,0.409,1.181703806716477e-07,0.409,1.039468715471346e-07,0.409,9.257443910096868e-08,0.409,8.327252948034126e-08
