M0:gds (L=1.00e-07) X,M0:gds (L=1.00e-07) Y,M0:gds (L=2.00e-07) X,M0:gds (L=2.00e-07) Y,M0:gds (L=3.00e-07) X,M0:gds (L=3.00e-07) Y,M0:gds (L=4.00e-07) X,M0:gds (L=4.00e-07) Y,M0:gds (L=5.00e-07) X,M0:gds (L=5.00e-07) Y,M0:gds (L=6.00e-07) X,M0:gds (L=6.00e-07) Y,M0:gds (L=7.00e-07) X,M0:gds (L=7.00e-07) Y,M0:gds (L=8.00e-07) X,M0:gds (L=8.00e-07) Y,M0:gds (L=9.00e-07) X,M0:gds (L=9.00e-07) Y,M0:gds (L=1.00e-06) X,M0:gds (L=1.00e-06) Y
0.4,2.508030878519588e-07,0.4,1.157376417535541e-07,0.4,8.353004346739739e-08,0.4,6.44712172236538e-08,0.4,5.251130050826709e-08,0.4,4.419888384083771e-08,0.4,3.809840065686032e-08,0.4,3.344314397934608e-08,0.4,2.97809041164972e-08,0.4,2.682839458997797e-08
0.401,2.566684669092482e-07,0.401,1.184350737340117e-07,0.401,8.540325746318614e-08,0.401,6.587473596844661e-08,0.401,5.362961408411269e-08,0.401,4.512462960337899e-08,0.401,3.888606965290221e-08,0.401,3.412741126600409e-08,0.401,3.038507723496264e-08,0.401,2.736882777030079e-08
0.402,2.626564259782079e-07,0.402,1.211853133053366e-07,0.402,8.73103905931191e-08,0.402,6.730231839790904e-08,0.402,5.476632635511718e-08,0.402,4.606512881955086e-08,0.402,3.96859792688983e-08,0.402,3.48220974588095e-08,0.402,3.099829598153234e-08,0.402,2.791723862663858e-08
0.403,2.687690487835523e-07,0.403,1.239890835818366e-07,0.403,8.925182431369003e-08,0.403,6.875419759464559e-08,0.403,5.592159443510502e-08,0.403,4.702049471093216e-08,0.403,4.049821519685866e-08,0.403,3.552726988337118e-08,0.403,3.16206148231898e-08,0.403,2.847367226918194e-08
0.404,2.750084385320862e-07,0.404,1.268471089839257e-07,0.404,9.122793869339662e-08,0.404,7.023060478829415e-08,0.404,5.709557359574761e-08,0.404,4.799083879446259e-08,0.404,4.132286158220369e-08,0.404,3.624299446648661e-08,0.404,3.225208695829776e-08,0.404,2.903817265204459e-08
0.405,2.813767174870892e-07,0.405,1.297601150054055e-07,0.405,9.323911228673456e-08,0.405,7.173176927953991e-08,0.405,5.828841721818594e-08,0.405,4.897627085046085e-08,0.405,4.21600010020194e-08,0.405,3.696933572108982e-08,0.405,3.289276430606635e-08,0.405,2.96107825658973e-08
0.406,2.878760265453426e-07,0.406,1.327288279872475e-07,0.406,9.528572201333253e-08,0.406,7.325791836772648e-08,0.406,5.950027674747103e-08,0.406,4.997689889297656e-08,0.406,4.300971444531209e-08,0.406,3.770635673292456e-08,0.406,3.354269749755801e-08,0.406,3.019154363196832e-08
0.407,2.945085247892944e-07,0.407,1.357539748895286e-07,0.407,9.736814303872106e-08,0.407,7.480927728059592e-08,0.407,6.073130164912884e-08,0.407,5.099282914208961e-08,0.407,4.387208129502547e-08,0.407,3.845411914881914e-08,0.407,3.420193586812462e-08,0.407,3.078049629734703e-08
0.408,3.012763890141351e-07,0.408,1.388362830618024e-07,0.408,9.948674865683613e-08,0.408,7.638606910622606e-08,0.408,6.19816393678812e-08,0.408,5.202416599821331e-08,0.408,4.474717931184664e-08,0.408,3.921268316655592e-08,0.408,3.487052745129331e-08,0.408,3.137767983159898e-08
0.409,3.081818132295742e-07,0.409,1.419764800121326e-07,0.409,1.016419101744713e-07,0.409,7.79885147272936e-08,0.409,6.325143528859841e-08,0.409,5.307101201840097e-08,0.409,4.563508461982497e-08,0.409,3.998210752636565e-08,0.409,3.554851897410268e-08,0.409,3.1983132324685e-08
0.41,3.15227008136226e-07,0.41,1.451752931751348e-07,0.41,1.03833996797795e-07,0.41,7.96168327577194e-08,0.41,6.45408326995325e-08,0.41,5.413346789471978e-08,0.41,4.653587169381163e-08,0.41,4.076244950404296e-08,0.41,3.623595585388726e-08,0.41,3.259689068619245e-08
0.411,3.224142005764968e-07,0.411,1.484334496792527e-07,0.411,1.060633755211063e-07,0.411,8.127123948180204e-08,0.411,6.584997275787012e-08,0.411,5.521163243470334e-08,0.411,4.744961334874499e-08,0.411,4.15537649056909e-08,0.411,3.693288219651737e-08,0.411,3.321899064586536e-08
0.412,3.297456329599668e-07,0.412,1.517516761136009e-07,0.412,1.083304110179644e-07,0.412,8.295194879591832e-08,0.412,6.717899445766514e-08,0.412,5.630560254389599e-08,0.412,4.837638073077962e-08,0.412,4.235610806409465e-08,0.412,3.763934079608749e-08,0.412,3.384946675543118e-08
0.413,3.37223562663149e-07,0.413,1.551306982946518e-07,0.413,1.106354655348505e-07,0.413,8.465917215286375e-08,0.413,6.85280346001804e-08,0.413,5.74154732105342e-08,0.413,4.931624331026978e-08,0.413,4.316953183672862e-08,0.413,3.835537313604291e-08,0.413,3.448835239171717e-08
0.414,3.448502614039103e-07,0.414,1.585712410330799e-07,0.414,1.129788987874986e-07,0.414,8.639311850891987e-08,0.414,6.989722776668127e-08,0.414,5.8541337492355e-08,0.414,5.02692688766167e-08,0.414,4.399408760538392e-08,0.414,3.908101939174153e-08,0.414,3.513567976103882e-08
0.415,3.526280145903903e-07,0.415,1.620740279010531e-07,0.415,1.153610678600296e-07,0.415,8.815399427369603e-08,0.415,7.128670629369949e-08,0.415,5.968328650555241e-08,0.415,5.123552353496647e-08,0.415,4.482982527741575e-08,0.415,3.981631843444269e-08,0.415,3.579147990485715e-08
0.416,3.605591206448479e-07,0.416,1.65639781000302e-07,0.416,1.177823271070315e-07,0.416,8.994200326281472e-08,0.416,7.269660025081781e-08,0.416,6.084140941589426e-08,0.416,5.221507170476619e-08,0.416,4.567679328859824e-08,0.416,4.056130783669543e-08,0.416,3.645578270667446e-08
0.417,3.686458903024752e-07,0.417,1.692692207312382e-07,0.417,1.202430280587115e-07,0.417,9.175734665352663e-08,0.417,7.41270374209752e-08,0.417,6.201579343198959e-08,0.417,5.320797612016338e-08,0.417,4.653503860757527e-08,0.417,4.131602387912764e-08,0.417,3.712861690016765e-08
0.418,3.768906458855214e-07,0.418,1.729630655634899e-07,0.418,1.22743519329225e-07,0.418,9.360022294326927e-08,0.418,7.55781432833159e-08,0.418,6.320652380072303e-08,0.418,5.421429783224522e-08,0.418,4.740460674188807e-08,0.418,4.208050155860667e-08,0.418,3.78100100785243e-08
0.419,3.85295720553097e-07,0.419,1.767220318081075e-07,0.419,1.252841465283389e-07,0.419,9.547082791122626e-08,0.419,7.705004099861541e-08,0.419,6.441368380483281e-08,0.419,5.523409621309478e-08,0.419,4.828554174556249e-08,0.419,4.285477459774675e-08,0.419,3.849998870496931e-08
0.42,3.938634575270387e-07,0.42,1.805468333917767e-07,0.42,1.278652521765109e-07,0.42,9.73693545829606e-08,0.42,7.85428513972525e-08,0.42,6.563735476264182e-08,0.42,5.626742896165912e-08,0.42,4.91778862282387e-08,0.42,4.363887545575875e-08,0.42,3.919857812445232e-08
0.421,4.025962092942682e-07,0.421,1.844381816333683e-07,0.421,1.304871756234928e-07,0.421,9.929599319811741e-08,0.421,8.005669296977552e-08,0.421,6.687761602991368e-08,0.421,5.731435211139017e-08,0.421,5.008168136581154e-08,0.421,4.443283534059091e-08,0.421,3.990580257647518e-08
