M1:gm (L=1.00e-07) X,M1:gm (L=1.00e-07) Y,M1:gm (L=2.00e-07) X,M1:gm (L=2.00e-07) Y,M1:gm (L=3.00e-07) X,M1:gm (L=3.00e-07) Y,M1:gm (L=4.00e-07) X,M1:gm (L=4.00e-07) Y,M1:gm (L=5.00e-07) X,M1:gm (L=5.00e-07) Y,M1:gm (L=6.00e-07) X,M1:gm (L=6.00e-07) Y,M1:gm (L=7.00e-07) X,M1:gm (L=7.00e-07) Y,M1:gm (L=8.00e-07) X,M1:gm (L=8.00e-07) Y,M1:gm (L=9.00e-07) X,M1:gm (L=9.00e-07) Y,M1:gm (L=1.00e-06) X,M1:gm (L=1.00e-06) Y
0.4,1.873404368675066e-05,0.4,1.240784909866272e-05,0.4,9.707673432962209e-06,0.4,8.048688018058778e-06,0.4,6.957243169029048e-06,0.4,6.167625148839203e-06,0.4,5.561128759430345e-06,0.4,5.076008009467482e-06,0.4,4.676532238047319e-06,0.4,4.340335325155654e-06
0.401,1.912801807936163e-05,0.401,1.265170944130932e-05,0.401,9.893008032198819e-06,0.401,8.200134559192925e-06,0.401,7.086297626440943e-06,0.401,6.280558595847428e-06,0.401,5.661788638162816e-06,0.401,5.166952250234543e-06,0.401,4.759562319124886e-06,0.401,4.416775712908868e-06
0.402,1.952864932739422e-05,0.402,1.289929040074764e-05,0.402,1.008106457379895e-05,0.402,8.353758207481916e-06,0.402,7.217166776118271e-06,0.402,6.395047884237764e-06,0.402,5.763810001490063e-06,0.402,5.25910658138004e-06,0.402,4.843681195942705e-06,0.402,4.494205527898326e-06
0.403,1.993600607555842e-05,0.403,1.315062487991838e-05,0.403,1.027186585416696e-05,0.403,8.509576199761945e-06,0.403,7.349864189556526e-06,0.403,6.511104050492891e-06,0.403,5.867202056660084e-06,0.403,5.352478842886853e-06,0.403,4.928895656349263e-06,0.403,4.57263072847799e-06
0.404,2.035015663245875e-05,0.404,1.340574567247955e-05,0.404,1.046543459986362e-05,0.404,8.667605697367914e-06,0.404,7.484403364637307e-06,0.404,6.628738061846132e-06,0.404,5.971973946590406e-06,0.404,5.447076815162336e-06,0.404,5.01521243296468e-06,0.404,4.652057221661906e-06
0.405,2.077116894543821e-05,0.405,1.366468545946538e-05,0.405,1.066179346633692e-05,0.405,8.827863785203441e-06,0.405,7.620797725025886e-06,0.405,6.747960815896037e-06,0.405,6.078134749612545e-06,0.405,5.542908218855795e-06,0.405,5.102638203039834e-06,0.405,4.732490863003912e-06
0.406,2.119911057548567e-05,0.406,1.392747680614783e-05,0.406,1.086096503676078e-05,0.406,8.990367470890004e-06,0.406,7.759060619621622e-06,0.406,6.868783140250699e-06,0.406,6.185693479230769e-06,0.406,5.639980714681634e-06,0.406,5.191179588311528e-06,0.406,4.813937456467983e-06
0.407,2.163404867224365e-05,0.407,1.419415215909732e-05,0.407,1.106297182097212e-05,0.407,9.155133683986537e-06,0.407,7.899205322052441e-06,0.407,6.991215792198837e-06,0.407,6.294659083892177e-06,0.407,5.738301903241612e-06,0.407,5.280843154850358e-06,0.407,4.896402754286807e-06
0.408,2.207604994914337e-05,0.408,1.446474384344289e-05,0.408,1.126783625450216e-05,0.408,9.322179275273503e-06,0.408,8.04124503020932e-06,0.408,7.115269458399392e-06,0.408,6.405040446762025e-06,0.408,5.837879324842646e-06,0.408,5.37163541289722e-06,0.408,4.979892456802682e-06
0.409,2.252518065870474e-05,0.409,1.473928406032704e-05,0.409,1.147558069769172e-05,0.409,9.491521016093654e-06,0.409,8.185192865812305e-06,0.409,7.240954754583245e-06,0.409,6.516846385497588e-06,0.409,5.938720459303669e-06,0.409,5.463562816682317e-06,0.409,5.064412212289013e-06
0.41,2.298150656802836e-05,0.41,1.501780488455166e-05,0.41,1.168622743488487e-05,0.41,9.663175597743193e-06,0.41,8.331061873999456e-06,0.41,7.368282225262569e-06,0.41,6.63008565201496e-06,0.41,6.040832725748719e-06,0.41,5.556631764224769e-06,0.41,5.14996761674681e-06
0.411,2.344509293451643e-05,0.411,1.530033826241127e-05,0.411,1.189979867368911e-05,0.411,9.837159630900843e-06,0.411,8.478865022935025e-06,0.411,7.497262343437764e-06,0.411,6.744766932245552e-06,0.411,6.144223482378874e-06,0.411,5.650848597106906e-06,0.411,5.236564213674415e-06
0.412,2.391600448185737e-05,0.412,1.558691600970623e-05,0.412,1.211631654429636e-05,0.412,1.001348964509246e-05,0.412,8.628615203425657e-06,0.412,7.627905510299446e-06,0.412,6.860898845872853e-06,0.412,6.248900026220221e-06,0.412,5.746219600219685e-06,0.412,5.324207493805796e-06
0.413,2.439430537629926e-05,0.413,1.587756980992963e-05,0.413,1.233580309885163e-05,0.413,1.019218208817722e-05,0.413,8.780325228538762e-06,0.413,7.760222054915893e-06,0.413,6.97848994604712e-06,0.413,6.354869592842995e-06,0.413,5.842751001475898e-06,0.413,5.412902894814254e-06
0.414,2.48800592032554e-05,0.414,1.617233121262207e-05,0.414,1.255828031086014e-05,0.414,1.037325332584934e-05,0.414,8.934007833215126e-06,0.414,7.894222233900747e-06,0.414,7.097548719070692e-06,0.414,6.462139356045545e-06,0.414,5.94044897148686e-06,0.414,5.502655800979501e-06
0.415,2.537332894426739e-05,0.415,1.647123163188129e-05,0.415,1.278377007462595e-05,0.415,1.055671964114498e-05,0.415,9.089675673867929e-06,0.415,8.029916231054389e-06,0.415,7.218083584049898e-06,0.415,6.570716427501486e-06,0.415,6.039319623198702e-06,0.415,5.593471542813338e-06
0.416,2.58741769543635e-05,0.416,1.677430234502294e-05,0.416,1.301229420470216e-05,0.416,1.074259723394584e-05,0.416,9.247341327960452e-06,0.416,8.167314156972731e-06,0.416,7.340102892506578e-06,0.416,6.680607856363846e-06,0.416,6.139369011485565e-06,0.416,5.685355396643086e-06
0.417,2.638266493984038e-05,0.417,1.70815744913759e-05,0.417,1.324387443535311e-05,0.417,1.093090222046906e-05,0.417,9.40701729355382e-06,0.417,8.306426048616183e-06,0.417,7.463614927946686e-06,0.417,6.791820628822481e-06,0.417,6.240603132696093e-06,0.417,5.77831258414841e-06
0.418,2.689885393650447e-05,0.418,1.739307907120743e-05,0.418,1.347853242000648e-05,0.418,1.112165063273484e-05,0.418,9.568715988819301e-06,0.418,8.447261868834303e-06,0.418,7.588627905378313e-06,0.418,6.904361667611835e-06,0.418,6.343027924150167e-06,0.418,5.872348271850598e-06
0.419,2.742280428839794e-05,0.419,1.770884694475956e-05,0.419,1.371628973068979e-05,0.419,1.131485841800116e-05,0.419,9.732449751504718e-06,0.419,8.589831505839013e-06,0.419,7.71514997077744e-06,0.419,7.018237831464276e-06,0.419,6.446649263582741e-06,0.419,5.967467570551235e-06
0.42,2.795457562704929e-05,0.42,1.802890883138831e-05,0.42,1.395716785743685e-05,0.42,1.151054143815856e-05,0.42,9.898230838351108e-06,0.42,8.734144772619868e-06,0.42,7.843189200493515e-06,0.42,7.133455914506066e-06,0.42,6.551472968533522e-06,0.42,6.063675534718433e-06
0.421,2.849422685126412e-05,0.421,1.835329530879258e-05,0.421,1.420118820765299e-05,0.421,1.170871546907124e-05,0.421,1.006607142444776e-05,0.421,8.880211406299396e-06,0.421,7.972753600594385e-06,0.421,7.250022645593188e-06,0.421,6.657504795677525e-06,0.421,6.160977161818879e-06
0.422,2.904181610749931e-05,0.422,1.86820368123121e-05,0.422,1.44483721054257e-05,0.422,1.190939619986072e-05,0.422,1.023598360252235e-05,0.422,9.028041067417139e-06,0.422,8.10385110614311e-06,0.422,7.367944687583624e-06,0.422,6.764750440097896e-06,0.422,6.259377391595139e-06
0.423,2.959740077083711e-05,0.423,1.901516363428828e-05,0.423,1.469874079076882e-05,0.423,1.211259923211614e-05,0.423,1.040797938215923e-05,0.423,9.177643339143501e-06,0.423,8.236489580406626e-06,0.423,7.48722863654299e-06,0.423,6.873215534495125e-06,0.423,6.358881105284703e-06
0.424,3.016103742658707e-05,0.424,1.935270592346574e-05,0.424,1.495231541878953e-05,0.424,1.231834007902916e-05,0.424,1.058207068893483e-05,0.424,9.329027726415531e-06,0.424,8.370676813987975e-06,0.424,7.60788102088255e-06,0.424,6.982905648335142e-06,0.424,6.459493124781594e-06
0.425,3.073278185254733e-05,0.425,1.969469368442204e-05,0.425,1.520911705876274e-05,0.425,1.252663416443933e-05,0.425,1.075826936347012e-05,0.425,9.482203654989021e-06,0.425,8.506420523885172e-06,0.425,7.729908300425629e-06,0.425,7.093826286931187e-06,0.425,6.561218211739998e-06
0.426,3.131268900193496e-05,0.426,2.004115677700527e-05,0.426,1.5469166693104e-05,0.426,1.273749682178325e-05,0.426,1.093658716038897e-05,0.426,9.637180470405602e-06,0.426,8.643728352467565e-06,0.426,7.853316865402311e-06,0.426,7.205982890460707e-06,0.426,6.664061066616687e-06
0.427,3.190081298702012e-05,0.427,2.039212491576769e-05,0.427,1.573248521622794e-05,0.427,1.295094329293969e-05,0.427,1.111703574717912e-05,0.427,9.793967436869178e-06,0.427,8.782607866371916e-06,0.427,7.978113035369805e-06,0.427,7.319380832915481e-06,0.427,6.768026327655032e-06
0.428,3.249720706347148e-05,0.428,2.074762766937183e-05,0.428,1.599909343327845e-05,0.428,1.3166988726962e-05,0.428,1.1299626702951e-05,0.428,9.952573736029042e-06,0.428,8.923066555313617e-06,0.428,8.104303058057239e-06,0.428,7.434025420984861e-06,0.428,6.873118569808563e-06
0.429,3.310192361544259e-05,0.429,2.110769445995906e-05,0.429,1.626901205872189e-05,0.429,1.338564817868914e-05,0.429,1.148437151708547e-05,0.429,1.011300846566481e-05,0.429,9.065111830811603e-06,0.429,8.231893108134239e-06,0.429,7.549921892870665e-06,0.429,6.979342303604509e-06
0.43,3.37150141414004e-05,0.43,2.147235456245289e-05,0.43,1.654226171479296e-05,0.43,1.360693660723089e-05,0.43,1.167128158777193e-05,0.43,1.027528063827299e-05,0.43,9.208751024825697e-06,0.43,8.360889285902888e-06,0.43,7.66707541703555e-06,0.43,7.086701973947753e-06
0.431,3.433652924072415e-05,0.431,2.18416371037875e-05,0.431,1.68188629297772e-05,0.431,1.38308688743162e-05,0.431,1.18603682204263e-05,0.431,1.043939917955054e-05,0.431,9.353991388305288e-06,0.431,8.49129761591186e-06,0.431,7.78549109088254e-06,0.431,7.195201958866297e-06
0.4320000000000001,3.496651860107206e-05,0.4320000000000001,2.221557106203977e-05,0.4320000000000001,1.709883613612575e-05,0.4320000000000001,1.405745974250319e-05,0.4320000000000001,1.205164262599017e-05,0.4320000000000001,1.060537292677455e-05,0.4320000000000001,9.500840089647655e-06,0.4320000000000001,8.623124045492828e-06,0.4320000000000001,7.905173939368815e-06,0.4320000000000001,7.304846568197256e-06
0.4330000000000001,3.560503098653386e-05,0.4330000000000001,2.259418526544533e-05,0.4330000000000001,1.738220166838965e-05,0.4330000000000001,1.428672387323852e-05,0.4330000000000001,1.224511591910417e-05,0.4330000000000001,1.077321062707519e-05,0.4330000000000001,9.649304213066054e-06,0.4330000000000001,8.756374443220093e-06,0.4330000000000001,8.026128913551955e-06,0.4330000000000001,7.415640042217226e-06
0.4340000000000001,3.625211422657553e-05,0.4340000000000001,2.297750839128333e-05,0.4340000000000001,1.766897976096182e-05,0.4340000000000001,1.451867582476835e-05,0.4340000000000001,1.24407991161537e-05,0.4340000000000001,1.094292093560233e-05,0.4340000000000001,9.799390756867123e-06,0.4340000000000001,8.891054597293002e-06,0.4340000000000001,8.148360889071323e-06,0.4340000000000001,7.52758655021503e-06
0.4350000000000001,3.690781520577146e-05,0.4350000000000001,2.336556896460882e-05,0.4350000000000001,1.795919054562473e-05,0.4350000000000001,1.475333004988781e-05,0.4350000000000001,1.263870313318612e-05,0.4350000000000001,1.111451241358431e-05,0.4350000000000001,9.951106631638229e-06,0.4350000000000001,9.027170213842262e-06,0.4350000000000001,8.271874664564893e-06,0.4350000000000001,7.640690189010337e-06
0.4360000000000001,3.757217985433806e-05,0.4360000000000001,2.375839535681841e-05,0.4360000000000001,1.825285404888616e-05,0.4360000000000001,1.499070089353055e-05,0.4360000000000001,1.283883878369428e-05,0.4360000000000001,1.128799352627539e-05,0.4360000000000001,1.010445865834394e-05,0.4360000000000001,9.164726915161066e-06,0.4360000000000001,8.396674960022822e-06,0.4360000000000001,7.754954981419488e-06
0.4370000000000001,3.824525313945811e-05,0.4370000000000001,2.41560157840295e-05,0.4370000000000001,1.854999018910405e-05,0.4370000000000001,1.523080259019096e-05,0.4370000000000001,1.304121677626836e-05,0.4370000000000001,1.146337264079864e-05,0.4370000000000001,1.025945356633391e-05,0.4370000000000001,9.303730237862485e-06,0.4370000000000001,8.522766415080448e-06,0.4370000000000001,7.870384874669486e-06
0.4380000000000001,3.892707905739843e-05,0.4380000000000001,2.455845830525373e-05,0.4380000000000001,1.885061877338496e-05,0.4380000000000001,1.547364926117773e-05,0.4380000000000001,1.324584771211e-05,0.4380000000000001,1.164065802387582e-05,0.4380000000000001,1.041609799126185e-05,0.4380000000000001,9.444185630964244e-06,0.4380000000000001,8.650153587250074e-06,0.4380000000000001,7.986983738762243e-06
0.4390000000000001,3.961770062641363e-05,0.4390000000000001,2.496575082035292e-05,0.4390000000000001,1.9154759494257e-05,0.4390000000000001,1.571925491169335e-05,0.4390000000000001,1.34527420824145e-05,0.4390000000000001,1.181985783945298e-05,0.4390000000000001,1.057439847291786e-05,0.4390000000000001,9.586098453904332e-06,0.4390000000000001,8.778840950097351e-06,0.4390000000000001,8.104755364792785e-06
0.4400000000000001,4.031715988042382e-05,0.4400000000000001,2.537792106775714e-05,0.4400000000000001,1.946243192610713e-05,0.4400000000000001,1.596763342774045e-05,0.4400000000000001,1.366191026561454e-05,0.4400000000000001,1.200098014621589e-05,0.4400000000000001,1.073436145297598e-05,0.4400000000000001,9.729473974485673e-06,0.4400000000000001,8.908832891360725e-06,0.4400000000000001,8.223703463221259e-06
0.4410000000000001,4.102549786346383e-05,0.4410000000000001,2.579499662193171e-05,0.4410000000000001,1.977365552137616e-05,0.4410000000000001,1.621879857284939e-05,0.4410000000000001,1.387336252449026e-05,0.4410000000000001,1.218403289500347e-05,0.4410000000000001,1.089599327265795e-05,0.4410000000000001,9.874317366757973e-06,0.4410000000000001,9.040133711018377e-06,0.4410000000000001,8.343831662102712e-06
0.4420000000000001,4.174275462488118e-05,0.4420000000000001,2.621700489057479e-05,0.4420000000000001,2.008844960651268e-05,0.4420000000000001,1.647276398463018e-05,0.4420000000000001,1.408710900314334e-05,0.4420000000000001,1.236902392611374e-05,0.4420000000000001,1.105930017031641e-05,0.4420000000000001,1.002063370883256e-05,0.4420000000000001,9.172747619305239e-06,0.4420000000000001,8.465143505277361e-06
0.4430000000000001,4.246896921527488e-05,0.4430000000000001,2.664397311153222e-05,0.4430000000000001,2.040683337767488e-05,0.4430000000000001,1.672954317114432e-05,0.4430000000000001,1.430315972383911e-05,0.4430000000000001,1.255596096651083e-05,0.4430000000000001,1.122428827893962e-05,0.4430000000000001,1.01684279806394e-05,0.4430000000000001,9.30667873468234e-06,0.4430000000000001,8.587642450523466e-06
0.4440000000000001,4.320417968315376e-05,0.4440000000000001,2.707592834942232e-05,0.4440000000000001,2.072882589618343e-05,0.4440000000000001,1.698914950709849e-05,0.4440000000000001,1.45215245837157e-05,0.4440000000000001,1.274485162693144e-05,0.4440000000000001,1.139096362358061e-05,0.4440000000000001,1.031770506162408e-05,0.4440000000000001,9.441931081761295e-06,0.4440000000000001,8.711331867675144e-06
0.4450000000000001,4.394842307228876e-05,0.4450000000000001,2.751289749194213e-05,0.4450000000000001,2.105444608372035e-05,0.4450000000000001,1.72515962298603e-05,0.4450000000000001,1.474221335136263e-05,0.4450000000000001,1.293570339889494e-05,0.4450000000000001,1.155933211871422e-05,0.4450000000000001,1.046846972839078e-05,0.4450000000000001,9.578508589187655e-06,0.4450000000000001,8.836215036709964e-06
0.4460000000000001,4.470173541974847e-05,0.4460000000000001,2.795490724586193e-05,0.4460000000000001,2.1383712717269e-05,0.4460000000000001,1.751689643529818e-05,0.4460000000000001,1.496523566327459e-05,0.4460000000000001,1.31285236516204e-05,0.4460000000000001,1.172939956552424e-05,0.4460000000000001,1.062072665229427e-05,0.4460000000000001,9.716415087485461e-06,0.4460000000000001,8.962295145807517e-06
0.4470000000000001,4.546415175458116e-05,0.4470000000000001,2.84019841326804e-05,0.4470000000000001,2.17166444238028e-05,0.4470000000000001,1.778506307344441e-05,0.4470000000000001,1.519060102017794e-05,0.4470000000000001,1.332331962885415e-05,0.4470000000000001,1.190117164912539e-05,0.4470000000000001,1.077448039698297e-05,0.4470000000000001,9.855654306867945e-06,0.4470000000000001,9.089575289382669e-06
0.4480000000000001,4.623570609712168e-05,0.4480000000000001,2.885415448394022e-05,0.4480000000000001,2.205325967471298e-05,0.4480000000000001,1.805610894398603e-05,0.4480000000000001,1.541831878323805e-05,0.4480000000000001,1.352009844560881e-05,0.4480000000000001,1.207465393572412e-05,0.4480000000000001,1.092973541589887e-05,0.4480000000000001,9.996229875015609e-06,0.4480000000000001,9.218058466097807e-06
0.4490000000000001,4.701643145889669e-05,0.4490000000000001,2.931144443619247e-05,0.4490000000000001,2.239357677998392e-05,0.4490000000000001,1.83300466915859e-05,0.4490000000000001,1.564839817014845e-05,0.4490000000000001,1.371886708482382e-05,0.4490000000000001,1.224985186972035e-05,0.4490000000000001,1.108649604973567e-05,0.4490000000000001,1.013814531482703e-05,0.4490000000000001,9.347747576855458e-06
0.4500000000000001,4.780635984308662e-05,0.4500000000000001,2.977387992559617e-05,0.4500000000000001,2.273761388211127e-05,0.4500000000000001,1.860688880103608e-05,0.4500000000000001,1.588084825110666e-05,0.4500000000000001,1.391963239394405e-05,0.4500000000000001,1.242677077075629e-05,0.4500000000000001,1.124476652386124e-05,0.4500000000000001,1.028140404214497e-05,0.4500000000000001,9.478645422776534e-06
0.4510000000000001,4.860552224552798e-05,0.4510000000000001,3.02414866821523e-05,0.4510000000000001,2.308538894976997e-05,0.4510000000000001,1.88866475922502e-05,0.4510000000000001,1.611567794468139e-05,0.4510000000000001,1.4122401081428e-05,0.4510000000000001,1.260541583071525e-05,0.4510000000000001,1.140455094570749e-05,0.4510000000000001,1.042600936346345e-05,0.4510000000000001,9.610754703166507e-06
0.4520000000000001,4.941394865620622e-05,0.4520000000000001,3.071429022356459e-05,0.4520000000000001,2.343691977123234e-05,0.4520000000000001,1.916933521509387e-05,0.4520000000000001,1.635289601357576e-05,0.4520000000000001,1.432717971318547e-05,0.4520000000000001,1.278579211067666e-05,0.4520000000000001,1.156585330213197e-05,0.4520000000000001,1.0571964473616e-05,0.4520000000000001,9.744078013473841e-06
0.4530000000000001,5.023166806120976e-05,0.4530000000000001,3.119231584871622e-05,0.4530000000000001,2.379222394753982e-05,0.4530000000000001,1.945496364406509e-05,0.4530000000000001,1.659251106029075e-05,0.4530000000000001,1.453397470895198e-05,0.4530000000000001,1.296790453782956e-05,0.4530000000000001,1.172867745675411e-05,0.4530000000000001,1.071927245345308e-05,0.4530000000000001,9.878617843242328e-06
0.4540000000000001,5.105870844511034e-05,0.4540000000000001,3.167558863076622e-05,0.4540000000000001,2.415131888543488e-05,0.4540000000000001,1.974354467282313e-05,0.4540000000000001,1.683453152269633e-05,0.4540000000000001,1.474279233860489e-05,0.4540000000000001,1.31517579023512e-05,0.4540000000000001,1.18930271472741e-05,0.4540000000000001,1.086793626750901e-05,0.4540000000000001,1.001437657406497e-05
