M0:gm (L=1.00e-07) X,M0:gm (L=1.00e-07) Y,M0:gm (L=2.00e-07) X,M0:gm (L=2.00e-07) Y,M0:gm (L=3.00e-07) X,M0:gm (L=3.00e-07) Y,M0:gm (L=4.00e-07) X,M0:gm (L=4.00e-07) Y,M0:gm (L=5.00e-07) X,M0:gm (L=5.00e-07) Y,M0:gm (L=6.00e-07) X,M0:gm (L=6.00e-07) Y,M0:gm (L=7.00e-07) X,M0:gm (L=7.00e-07) Y,M0:gm (L=8.00e-07) X,M0:gm (L=8.00e-07) Y,M0:gm (L=9.00e-07) X,M0:gm (L=9.00e-07) Y,M0:gm (L=1.00e-06) X,M0:gm (L=1.00e-06) Y
0.4,6.849979818512242e-06,0.4,6.377870894791994e-06,0.4,5.509626289066681e-06,0.4,4.604691993705912e-06,0.4,3.940688253186932e-06,0.4,3.436350968657393e-06,0.4,3.042432498087292e-06,0.4,2.727284369106058e-06,0.4,2.469945517895817e-06,0.4,2.256124682767243e-06
0.401,7.006406186115844e-06,0.401,6.521517929682633e-06,0.401,5.630605059188078e-06,0.401,4.70443240991457e-06,0.401,4.02512002453953e-06,0.401,3.509343988634231e-06,0.401,3.106611671982959e-06,0.401,2.784490783162335e-06,0.401,2.521511201456069e-06,0.401,2.303040359751299e-06
0.402,7.166000046628193e-06,0.402,6.667829975315979e-06,0.402,5.753678216007342e-06,0.402,4.805836404800491e-06,0.402,4.110918848745927e-06,0.402,3.583491406394661e-06,0.402,3.171786868150536e-06,0.402,2.842571407715159e-06,0.402,2.573854852268516e-06,0.402,2.350656236543729e-06
0.403,7.328811963153637e-06,0.403,6.816836677066881e-06,0.403,5.878862515788021e-06,0.403,4.908914436812893e-06,0.403,4.198091569875509e-06,0.403,3.658797877133477e-06,0.403,3.237961344769364e-06,0.403,2.901528568962264e-06,0.403,2.626978151772679e-06,0.403,2.398973535024226e-06
0.404,7.494892805479023e-06,0.404,6.968567304040004e-06,0.404,6.006174182454874e-06,0.404,5.013676450008252e-06,0.404,4.286644562717071e-06,0.404,3.735267633830681e-06,0.404,3.305137980118163e-06,0.404,2.961364249658374e-06,0.404,2.680882469036407e-06,0.404,2.447993191197591e-06
0.405,7.664293729358122e-06,0.405,7.123050720831918e-06,0.405,6.135628887335549e-06,0.405,5.120131859691525e-06,0.405,4.376583722499182e-06,0.405,3.812904479705577e-06,0.405,3.373319266893811e-06,0.405,3.022080084743029e-06,0.405,2.735568857326557e-06,0.405,2.497715852462254e-06
0.406,7.837066155580156e-06,0.406,7.280315359660891e-06,0.406,6.267241729590874e-06,0.406,5.22828953873906e-06,0.406,4.467914455252369e-06,0.406,3.891711781263087e-06,0.406,3.442507307073738e-06,0.406,3.083677357465428e-06,0.406,2.791038051137595e-06,0.406,2.548141875300605e-06
0.407,8.013261748061527e-06,0.407,7.440389192437141e-06,0.407,6.401027217133564e-06,0.407,5.338157804522743e-06,0.407,4.560641668780135e-06,0.407,3.971692461917437e-06,0.407,3.512703807315189e-06,0.407,3.146156996006206e-06,0.407,2.847290463677603e-06,0.407,2.59927132339265e-06
0.408,8.192932390956429e-06,0.408,7.603299702827134e-06,0.408,6.536999248078677e-06,0.408,5.449744406468822e-06,0.408,4.654769764262537e-06,0.408,4.052848996213723e-06,0.408,3.583910074905912e-06,0.408,3.209519570605301e-06,0.408,2.904326184820926e-06,0.408,2.651103966160092e-06
0.409,8.37613016478337e-06,0.409,7.769073858363474e-06,0.409,6.675171092775824e-06,0.409,5.563056514287658e-06,0.409,4.750302628518005e-06,0.409,4.135183404662182e-06,0.409,3.656127014279422e-06,0.409,3.273765291207097e-06,0.409,2.962144979534317e-06,0.409,2.703639277745518e-06
