M1:gmoverid (L=1.00e-07) X,M1:gmoverid (L=1.00e-07) Y,M1:gmoverid (L=2.00e-07) X,M1:gmoverid (L=2.00e-07) Y,M1:gmoverid (L=3.00e-07) X,M1:gmoverid (L=3.00e-07) Y,M1:gmoverid (L=4.00e-07) X,M1:gmoverid (L=4.00e-07) Y,M1:gmoverid (L=5.00e-07) X,M1:gmoverid (L=5.00e-07) Y,M1:gmoverid (L=6.00e-07) X,M1:gmoverid (L=6.00e-07) Y,M1:gmoverid (L=7.00e-07) X,M1:gmoverid (L=7.00e-07) Y,M1:gmoverid (L=8.00e-07) X,M1:gmoverid (L=8.00e-07) Y,M1:gmoverid (L=9.00e-07) X,M1:gmoverid (L=9.00e-07) Y,M1:gmoverid (L=1.00e-06) X,M1:gmoverid (L=1.00e-06) Y
0.4,23.63654284137227,0.4,22.64761049116763,0.4,22.15365441586947,0.4,21.89985927369899,0.4,21.66479982279801,0.4,21.45813345143139,0.4,21.27817234991838,0.4,21.12118942315593,0.4,20.98351662173965,0.4,20.86200737995941
0.401,23.57148481077211,0.401,22.57690542113221,0.401,22.0831023862457,0.401,21.82968759654886,0.401,21.59475959529306,0.401,21.38813130195118,0.401,21.20817478385363,0.401,21.05118677834517,0.401,20.91350864702148,0.401,20.79199724025921
0.402,23.50619334464719,0.402,22.50615067165227,0.402,22.01255145047098,0.402,21.75952055774698,0.402,21.52472977346345,0.402,21.31814613262537,0.402,21.13820092104745,0.402,20.9812143754778,0.402,20.8435371088783,0.402,20.72202932252677
0.403,23.44067313681502,0.403,22.43535204649169,0.403,21.94200685834155,0.403,21.68936306101253,0.403,21.45471515501796,0.403,21.24818272419024,0.403,21.06825555430331,0.403,20.91127702496045,0.403,20.77360683217678,0.403,20.65210846032577
0.404,23.37492890873689,0.404,22.36451532765351,0.404,21.87147383513486,0.404,21.61921999903081,0.404,21.38472053223984,0.404,21.17824585262277,0.404,20.99834346956069,0.404,20.84137952680774,0.404,20.70372262722736,0.404,20.58223946830551
0.405,23.30896540852225,0.405,22.29364627422635,0.405,21.80095758033938,0.405,21.54909625186143,0.405,21.3147506898763,0.405,21.10834028654953,0.405,20.92846944292182,0.405,20.77152666738635,0.405,20.63388928632644,0.405,20.51242713860696
0.406,23.24278740998955,0.406,22.22275062120932,0.406,21.730463266311,0.406,21.47899668524164,0.406,21.2448104029207,0.406,21.03847078456213,0.406,20.85863823760403,0.406,20.70172321610409,0.406,20.5641115802658,0.406,20.44267623725517
0.407,23.17639971178087,0.407,22.15183407831147,0.407,21.65999603685646,0.407,21.40892614878898,0.407,21.17490443429487,0.407,20.96864209244589,0.407,20.78885460082601,0.407,20.6319739220556,0.407,20.49439425481896,0.407,20.37299150054726
0.408,23.10980713652937,0.408,22.08090232872192,0.408,21.58956100574359,0.408,21.33888947410678,0.408,21.10503753243682,0.408,20.8988589403314,0.408,20.7191232606384,0.408,20.56228351063478,0.408,20.42474202721518,0.408,20.30337763144926
0.409,23.04301453007647,0.409,22.0099610278478,0.409,21.51916325513993,0.409,21.26889147279676,0.409,21.03521442880165,0.409,20.82912603977814,0.409,20.64944892270871,0.409,20.49265668012467,0.409,20.35515958261344,0.409,20.23383929601006
0.41,22.97602676073697,0.41,21.93901580201701,0.41,21.44880783398058,0.41,21.19893693438282,0.41,20.96543983528379,0.41,20.75944808079787,0.41,20.57983626707149,0.41,20.4230980982748,0.41,20.28565157058463,0.41,20.16438111980505
0.411,22.90884871860839,0.411,21.86807224714282,0.411,21.37849975626805,0.411,21.12903062415349,0.411,20.89571844156653,0.411,20.68982972882961,0.411,20.51028994485173,0.411,20.35361239887763,0.411,20.21622260161472,0.411,20.09500768441794
0.412,22.84148531492156,0.412,21.79713592734861,0.412,21.30824399930536,0.412,21.0591772809259,0.412,20.82605491240913,0.412,20.62027562167317,0.412,20.44081457497468,0.412,20.28420417835331,0.412,20.14687724363763,0.412,20.02572352397174
0.413,22.77394148142932,0.413,21.72621237355071,0.413,21.23804550186677,0.413,20.98938161473984,0.413,20.75645388487845,0.413,20.55079036639278,0.413,20.37141474086977,0.413,20.21487799235333,0.413,20.07762001860826,0.413,19.95653312171837
