M0:gmoverid (L=1.00e-07) X,M0:gmoverid (L=1.00e-07) Y,M0:gmoverid (L=2.00e-07) X,M0:gmoverid (L=2.00e-07) Y,M0:gmoverid (L=3.00e-07) X,M0:gmoverid (L=3.00e-07) Y,M0:gmoverid (L=4.00e-07) X,M0:gmoverid (L=4.00e-07) Y,M0:gmoverid (L=5.00e-07) X,M0:gmoverid (L=5.00e-07) Y,M0:gmoverid (L=6.00e-07) X,M0:gmoverid (L=6.00e-07) Y,M0:gmoverid (L=7.00e-07) X,M0:gmoverid (L=7.00e-07) Y,M0:gmoverid (L=8.00e-07) X,M0:gmoverid (L=8.00e-07) Y,M0:gmoverid (L=9.00e-07) X,M0:gmoverid (L=9.00e-07) Y,M0:gmoverid (L=1.00e-06) X,M0:gmoverid (L=1.00e-06) Y
0.4,24.35555579360796,0.4,24.81926725119041,0.4,24.57259131064168,0.4,24.39914510608507,0.4,24.26496350259775,0.4,24.16075511220867,0.4,24.07806714104693,0.4,24.01105512950311,0.4,23.95573748093786,0.4,23.90934629876941
0.401,24.31322591996681,0.401,24.75726923195936,0.401,24.50373874450672,0.401,24.32790168646079,0.401,24.19178012065275,0.401,24.0860427421899,0.401,24.00213947593261,0.401,23.93414596212013,0.401,23.87802244774347,0.401,23.83095945216477
0.402,24.27063760122984,0.402,24.69485716709233,0.402,24.43438653263749,0.402,24.25609805711877,0.402,24.11800070727348,0.402,24.01071217084372,0.402,23.9255792178114,0.402,23.85659446561942,0.402,23.79965826854297,0.402,23.75191854864912
0.403,24.22778779427708,0.403,24.63202783313721,0.403,24.36453272826735,0.403,24.18373329006186,0.403,24.04362551342746,0.403,23.93476470484084,0.403,23.8483885661628,0.403,23.7784035859993,0.403,23.72064851535643,0.403,23.6722276892829
0.404,24.18467336471612,0.404,24.56877811320893,0.404,24.29417567833471,0.404,24.1108068608189,0.404,23.96865526007691,0.404,23.85820216196449,0.404,23.77057025803648,0.404,23.69957682450415,0.404,23.64099732764506,0.404,23.59189155121241
0.405,24.14129108988297,0.405,24.50510500926937,0.405,24.22331403573826,0.405,24.03731865859602,0.405,23.89309114572331,0.405,23.78102687629964,0.405,23.69212757125741,0.405,23.62011823918173,0.405,23.56070941249961,0.405,23.51091538670952
0.406,24.09763766196282,0.406,24.44100565422217,0.406,24.15194677092282,0.406,23.96326899551752,0.406,23.81693485290224,0.406,23.70324170229318,0.406,23.61306432645636,0.406,23.54003244524226,0.406,23.47979004361491,0.406,23.42930502099161
0.407,24.05370969143657,0.407,24.37647732399164,0.407,24.08007318289773,0.407,23.88865861500854,0.407,23.74018855366006,0.407,23.62485001771026,0.407,23.53338488794907,0.407,23.45932461423838,0.407,23.39824505907352,0.407,23.34706684884369
0.408,24.00950371085414,0.408,24.31151744954735,0.408,24.0076929096509,0.408,23.81348869929326,0.408,23.66285491399718,0.408,23.54585572547771,0.408,23.45309416346337,0.408,23.37800047207459,0.408,23.31608085794857,0.408,23.26420783005721
0.409,23.96501617893487,0.409,24.24612362883719,0.409,23.93480593791994,0.409,23.73776087598113,0.409,23.58493709726342,0.409,23.46626325441384,0.409,23.3721976027187,0.409,23.29606629585479,0.409,23.23330439574178,0.409,23.18073548370685
0.41,23.92024348499289,0.41,24.18029363858854,0.41,23.86141261228764,0.41,23.66147722372137,0.41,23.50643876649605,0.41,23.38607755884224,0.41,23.29070119486693,0.41,23.21352890958336,0.41,23.14992317867675,0.41,23.09665788128673
0.411,23.87518195368621,0.411,24.11402544594072,0.411,23.78751364356884,0.411,23.58464027690623,0.411,23.42736408569567,0.411,23.30530411709551,0.411,23.20861146480562,0.411,23.13039567873814,0.411,23.06594525686937,0.411,23.01198363873462
0.412,23.82982785008494,0.412,24.04731721986915,0.412,23.7131101164601,0.412,23.50725302940819,0.412,23.34771772003685,0.412,23.22394892891769,0.412,23.12593546838103,0.412,23.04667450373728,0.412,22.98137921640297,0.412,22.92672190737429
0.413,23.78417738505581,0.413,23.98016734236352,0.413,23.63820349642481,0.413,23.42931893734035,0.413,23.26750483501637,0.413,23.14201851177579,0.413,23.04268078650028,0.413,22.96237381232543,0.413,22.89623417033899,0.413,22.84088236380932
0.414,23.7382267209554,0.414,23.91257441932246,0.414,23.56279563579022,0.414,23.35084192083114,0.414,23.18673109454434,0.414,23.05951989609808,0.414,22.95885551817563,0.414,22.87750255090912,0.414,22.81051974869586,0.414,22.75447519880672
0.415,23.69197197762727,0.415,23.84453729112777,0.415,23.48688877903559,0.415,23.27182636481053,0.415,23.10540265798832,0.415,22.97646061945794,0.415,22.87446827252867,0.415,22.79207017487311,0.415,22.72424608743269,0.415,22.66751110520849
0.416,23.6454092386933,0.416,23.77605504286217,0.416,23.41048556725307,0.416,23.19227711880668,0.416,23.02352617618238,0.416,22.89284871972567,0.416,22.78952815978372,0.416,22.7060866379136,0.416,22.63742381647872,0.416,22.58000126491623
