M1:id (L=1.00e-07) X,M1:id (L=1.00e-07) Y,M1:id (L=2.00e-07) X,M1:id (L=2.00e-07) Y,M1:id (L=3.00e-07) X,M1:id (L=3.00e-07) Y,M1:id (L=4.00e-07) X,M1:id (L=4.00e-07) Y,M1:id (L=5.00e-07) X,M1:id (L=5.00e-07) Y,M1:id (L=6.00e-07) X,M1:id (L=6.00e-07) Y,M1:id (L=7.00e-07) X,M1:id (L=7.00e-07) Y,M1:id (L=8.00e-07) X,M1:id (L=8.00e-07) Y,M1:id (L=9.00e-07) X,M1:id (L=9.00e-07) Y,M1:id (L=1.00e-06) X,M1:id (L=1.00e-06) Y
0.4,7.925881283831171e-07,0.4,5.478656723841512e-07,0.4,4.381973352132298e-07,0.4,3.675222948741189e-07,0.4,3.211311144496884e-07,0.4,2.874258811506642e-07,0.4,2.613535626781993e-07,0.4,2.403276125128982e-07,0.4,2.228667848264455e-07,0.4,2.080495668883817e-07
0.401,8.114897211397395e-07,0.401,5.603827647104351e-07,0.401,4.479899036378385e-07,0.401,3.756413378344207e-07,0.401,3.281488597252225e-07,0.401,2.936468004543338e-07,0.401,2.6696243518172e-07,0.401,2.454469324272816e-07,0.401,2.275829938315521e-07,0.401,2.124265348400852e-07
0.402,8.307873839382543e-07,0.402,5.731450843019771e-07,0.402,4.579688753775334e-07,0.402,3.839127178174273e-07,0.402,3.352964209496636e-07,0.402,2.999813180313606e-07,0.402,2.726725574610148e-07,0.402,2.506577267442808e-07,0.402,2.323827143523729e-07,0.402,2.168803841090287e-07
0.403,8.504877610830778e-07,0.403,5.861563510070065e-07,0.403,4.68136973922133e-07,0.403,3.923386139993342e-07,0.403,3.425756148687312e-07,0.403,3.064309916348174e-07,0.403,2.784852927516224e-07,0.403,2.559612071548701e-07,0.403,2.372670366521429e-07,0.403,2.214121054740188e-07
0.404,8.705975638168738e-07,0.404,5.994203170107341e-07,0.404,4.784969452414175e-07,0.404,4.009212225727202e-07,0.404,3.499882716339585e-07,0.404,3.129973899235443e-07,0.404,2.844020133896282e-07,0.404,2.613585931006925e-07,0.404,2.422370577056286e-07,0.404,2.260226956059725e-07
0.405,8.911235699325171e-07,0.405,6.12940766712599e-07,0.405,4.890515577084116e-07,0.405,4.096627566666734e-07,0.405,3.575362347261324e-07,0.405,3.196820923908552e-07,0.405,2.904241007458337e-07,0.405,2.668511117132634e-07,0.405,2.472938811429733e-07,0.405,2.30713157015805e-07
0.406,9.120726233592165e-07,0.406,6.267215166001572e-07,0.406,4.998036020214308e-07,0.406,4.185654462660452e-07,0.406,3.652213608781796e-07,0.406,3.264866892927612e-07,0.406,2.965529451595695e-07,0.406,2.724399977530325e-07,0.406,2.524386171933454e-07,0.406,2.354844980021559e-07
0.407,9.334516337231674e-07,0.407,6.407664151197079e-07,0.407,5.107558911248566e-07,0.407,4.276315381297889e-07,0.407,3.730455199974107e-07,0.407,3.334127815759116e-07,0.407,3.027899458723071e-07,0.407,2.781264935482162e-07,0.407,2.576723826284459e-07,0.407,2.403377325990325e-07
0.408,9.552675758826041e-07,0.408,6.550793425439683e-07,0.408,5.219112601288714e-07,0.408,4.368632957085146e-07,0.408,3.810105950873254e-07,0.408,3.404619808051708e-07,0.408,3.091365109610501e-07,0.408,2.839118489334753e-07,0.408,2.629963007058894e-07,0.408,2.452738805232328e-07
0.409,9.775274894376709e-07,0.409,6.696642108369149e-07,0.409,5.332725662281229e-07,0.409,4.462629990612964e-07,0.409,3.891184821689292e-07,0.409,3.476359090908377e-07,0.409,3.155940572714568e-07,0.409,2.897973211883515e-07,0.409,2.684115011123324e-07,0.409,2.502939671216538e-07
