M0:id (L=1.00e-07) X,M0:id (L=1.00e-07) Y,M0:id (L=2.00e-07) X,M0:id (L=2.00e-07) Y,M0:id (L=3.00e-07) X,M0:id (L=3.00e-07) Y,M0:id (L=4.00e-07) X,M0:id (L=4.00e-07) Y,M0:id (L=5.00e-07) X,M0:id (L=5.00e-07) Y,M0:id (L=6.00e-07) X,M0:id (L=6.00e-07) Y,M0:id (L=7.00e-07) X,M0:id (L=7.00e-07) Y,M0:id (L=8.00e-07) X,M0:id (L=8.00e-07) Y,M0:id (L=9.00e-07) X,M0:id (L=9.00e-07) Y,M0:id (L=1.00e-06) X,M0:id (L=1.00e-06) Y
0.4,-2.812492462256548e-07,0.4,-2.569726442738097e-07,0.4,-2.242184368967951e-07,0.4,-1.887235632417903e-07,0.4,-1.624024595132325e-07,0.4,-1.422286821576036e-07,0.4,-1.263570603105171e-07,0.4,-1.135845772849306e-07,0.4,-1.031045941628645e-07,0.4,-9.436166188657738e-08
0.401,-2.881727045534995e-07,0.401,-2.634183802407452e-07,0.401,-2.297856189223628e-07,0.401,-1.933760695325319e-07,0.401,-1.663838498019679e-07,0.401,-1.45700371016856e-07,0.401,-1.294306677023051e-07,0.401,-1.163397242959641e-07,0.401,-1.055997103551573e-07,0.401,-9.664072952947424e-08
0.402,-2.952539624963805e-07,0.402,-2.70008923381707e-07,0.402,-2.354747033002119e-07,0.402,-1.981290634220036e-07,0.402,-1.704502943636573e-07,0.402,-1.492455842364826e-07,0.402,-1.325689166683461e-07,0.402,-1.19152486429239e-07,0.402,-1.081467580714425e-07,0.402,-9.896704374310093e-08
0.403,-3.024962038050154e-07,0.403,-2.767469465155258e-07,0.403,-2.412877880046749e-07,0.403,-2.029842105322804e-07,0.403,-1.746031614279116e-07,0.403,-1.528654768859315e-07,0.403,-1.357728035939243e-07,0.403,-1.220237380619689e-07,0.403,-1.10746515316877e-07,0.403,-1.01341304678657e-07
0.404,-3.099026626241291e-07,0.404,-2.836351516923235e-07,0.404,-2.472269873567515e-07,0.404,-2.079431865939692e-07,0.404,-1.788438257699592e-07,0.404,-1.565612084325657e-07,0.404,-1.390433278978018e-07,0.404,-1.249543556988181e-07,0.404,-1.133997616003218e-07,0.404,-1.037642135487092e-07
0.405,-3.174766237426499e-07,0.405,-2.906762697748286e-07,0.405,-2.532944314666809e-07,0.405,-2.130076769172352e-07,0.405,-1.831736682321747e-07,0.405,-1.603339423132693e-07,0.405,-1.423814916479252e-07,0.405,-1.279452176252589e-07,0.405,-1.161072776195247e-07,0.405,-1.062364723394421e-07
0.406,-3.252214228564985e-07,0.406,-2.978730600132372e-07,0.406,-2.594922656682159e-07,0.406,-2.181793758543899e-07,0.406,-1.875940752385985e-07,0.406,-1.641848455005158e-07,0.406,-1.457882991728163e-07,0.406,-1.309972035574627e-07,0.406,-1.188698449435956e-07,0.406,-1.087587835207017e-07
0.407,-3.331404468096413e-07,0.407,-3.05228309592122e-07,0.407,-2.658226499336755e-07,0.407,-2.234599862491809e-07,0.407,-1.921064383002096e-07,0.407,-1.681150880617809e-07,0.407,-1.492647566680977e-07,0.407,-1.341111942886216e-07,0.407,-1.216882456927274e-07,0.407,-1.113318497539461e-07
0.408,-3.412371338124242e-07,0.408,-3.127448331494023e-07,0.408,-2.722877582701144e-07,0.408,-2.288512188733058e-07,0.408,-1.967121535114691e-07,0.408,-1.721258427129599e-07,0.408,-1.528118717987124e-07,0.408,-1.372880713321174e-07,0.408,-1.245632622156673e-07,0.408,-1.139563735985546e-07
0.409,-3.495149736361517e-07,0.409,-3.204254722672858e-07,0.409,-2.788897780973427e-07,0.409,-2.343547918509211e-07,0.409,-2.014126210388519e-07,0.409,-1.762182843662669e-07,0.409,-1.564306532974135e-07,0.409,-1.405287165621303e-07,0.409,-1.274956767653929e-07,0.409,-1.166330572168895e-07
0.41,-3.579775077829926e-07,0.41,-3.282730949354242e-07,0.41,-2.856309096082865e-07,0.41,-2.399724300717233e-07,0.41,-2.062092446020248e-07,0.41,-1.803935896733666e-07,0.41,-1.601221105600586e-07,0.41,-1.438340118521618e-07,0.41,-1.304862711734537e-07,0.41,-1.193626020785962e-07
0.411,-3.666283296301968e-07,0.411,-3.362905949862693e-07,0.411,-2.925133651124032e-07,0.411,-2.457058645933864e-07,0.411,-2.111034309483236e-07,0.411,-1.846529365643184e-07,0.411,-1.638872532383402e-07,0.411,-1.472048387120133e-07,0.411,-1.335358265234948e-07,0.411,-1.221457086645384e-07
0.412,-3.754710845476983e-07,0.412,-3.444808915029248e-07,0.412,-2.995393683628088e-07,0.412,-2.515568320340965e-07,0.412,-2.160965893213045e-07,0.412,-1.889975037829483e-07,0.412,-1.677270908304938e-07,0.412,-1.506420779237491e-07,0.412,-1.366451228244299e-07,0.412,-1.249830761708359e-07
0.413,-3.845094699879649e-07,0.413,-3.528469281996999e-07,0.413,-3.067111538678917e-07,0.413,-2.575270739559465e-07,0.413,-2.211901309240542e-07,0.413,-1.934284704194125e-07,0.413,-1.716426322705979e-07,0.413,-1.541466091772042e-07,0.413,-1.398149386837374e-07,0.413,-1.278754022134541e-07
0.414,-3.937472355474256e-07,0.414,-3.613916727756981e-07,0.414,-3.140309661881742e-07,0.414,-2.636183362400388e-07,0.414,-2.263854683780358e-07,0.414,-1.979470154405289e-07,0.414,-1.756348855170963e-07,0.414,-1.577193107055418e-07,0.414,-1.430460509813876e-07,0.414,-1.308233825337617e-07
0.415,-4.031881829981672e-07,0.415,-3.701181162417831e-07,0.415,-3.215010592192295e-07,0.415,-2.698323684540569e-07,0.415,-2.316840151781752e-07,0.415,-2.02554317218594e-07,0.415,-1.797048571410947e-07,0.415,-1.613610589214317e-07,0.415,-1.463392345449065e-07,0.415,-1.338277107055491e-07
0.416,-4.128361662893018e-07,0.416,-3.790292722213977e-07,0.416,-3.291236954615398e-07,0.416,-2.761709232131707e-07,0.416,-2.370871851450542e-07,0.416,-2.072515530593904e-07,0.416,-1.838535519150893e-07,0.416,-1.650727280543801e-07,0.416,-1.496952618259985e-07,0.416,-1.368890778438743e-07
0.417,-4.226950915168431e-07,0.417,-3.881281762256355e-07,0.417,-3.369011452781701e-07,0.417,-2.826357555352413e-07,0.417,-2.425963918749005e-07,0.417,-2.120398987300233e-07,0.417,-1.880819724026987e-07,0.417,-1.688551897897585e-07,0.417,-1.531149025792902e-07,0.417,-1.400081723162531e-07
0.418,-4.327689168612762e-07,0.418,-3.974178849032493e-07,0.418,-3.448356861411273e-07,0.418,-2.892286221910757e-07,0.418,-2.482130481881857e-07,0.418,-2.169205279873428e-07,0.418,-1.92391118550039e-07,0.418,-1.727093129100498e-07,0.418,-1.565989235436226e-07,0.418,-1.431856794565549e-07
0.419,-4.430616524919698e-07,0.419,-4.069014752660543e-07,0.419,-3.529296018674754e-07,0.419,-2.959512810506593e-07,0.419,-2.539385655776995e-07,0.419,-2.218946121075684e-07,0.419,-1.967819872793031e-07,0.419,-1.766359629388524e-07,0.419,-1.601480881263501e-07,0.419,-1.46422281282069e-07
0.42,-4.535773604375589e-07,0.42,-4.165820438904534e-07,0.42,-3.611851818460925e-07,0.42,-3.028054904263891e-07,0.42,-2.597743536567442e-07,0.42,-2.26963319417872e-07,0.42,-2.012555720851931e-07,0.42,-1.80636001788179e-07,0.42,-1.637631560911901e-07,0.42,-1.49718656214132e-07
0.421,-4.643201544214292e-07,0.421,-4.264627060958508e-07,0.421,-3.696047202560767e-07,0.421,-3.097930084140786e-07,0.421,-2.657218196084133e-07,0.421,-2.321278148305399e-07,0.421,-2.058128626347135e-07,0.421,-1.847102874095327e-07,0.421,-1.674448832499631e-07,0.421,-1.530754788027441e-07
0.422,-4.752941996615644e-07,0.422,-4.365465951006004e-07,0.422,-3.781905152778736e-07,0.422,-3.169155922327565e-07,0.422,-2.71782367636621e-07,0.422,-2.373892593804498e-07,0.422,-2.104548443710425e-07,0.422,-1.888596734493095e-07,0.422,-1.711940211587736e-07,0.422,-1.56493419455556e-07
0.423,-4.865037126339698e-07,0.423,-4.468368611564376e-07,0.423,-3.869448682981742e-07,0.423,-3.241749975641482e-07,0.423,-2.779573984197411e-07,0.423,-2.427488097664751e-07,0.423,-2.151824981218865e-07,0.423,-1.93085008908979e-07,0.423,-1.75011316818982e-07,0.423,-1.599731441715857e-07
0.424,-4.97952960798973e-07,0.424,-4.57336670662196e-07,0.424,-3.9587008310953e-07,0.424,-3.315729778927908e-07,0.424,-2.842483085675875e-07,0.424,-2.482076178975109e-07,0.424,-2.199967997130094e-07,0.424,-1.973871378105407e-07,0.424,-1.788975123834731e-07,0.424,-1.635153142801075e-07
0.425,-5.096462622896472e-07,0.425,-4.680492052577741e-07,0.425,-4.049684651059817e-07,0.425,-3.391112838476997e-07,0.425,-2.906564900825872e-07,0.425,-2.537668304437752e-07,0.425,-2.248987195874129e-07,0.425,-2.017668988677504e-07,0.425,-1.828533448685213e-07,0.425,-1.671205861849974e-07
